Ticker;Name;Country;Type;Sector;Sub Sector;Segment
ACGLO;Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F;Bermuda;;Finance;;Property-Casualty Insurers
ACGLP;Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs;Bermuda;;Finance;;Property-Casualty Insurers
ACH;Aluminum Corporation of China Limited American Depositary Shares;China;;Basic Industries;;Aluminum
ACHC;Acadia Healthcare Company Inc. Common Stock;United States;;Health Care;;Hospital/Nursing Management
ACHL;Achilles Therapeutics plc American Depositary Shares;United Kingdom;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
ACHV;Achieve Life Sciences Inc. Common Shares;United States;;Health Care;;Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI;Albertsons Companies Inc. Class A Common Stock;United States;;Consumer Services;;Food Chains
ACIC;Atlas Crest Investment Corp. Class A Common Stock;United States;;;;
ACII;Atlas Crest Investment Corp. II Class A Common Stock;;;;;
ACIU;AC Immune SA Common Stock;Switzerland;;Health Care;;Major Pharmaceuticals
ACIW;ACI Worldwide Inc. Common Stock;United States;;Technology;;EDP Services
ACKIT;Ackrell SPAC Partners I Co. Subunits;United States;;;;
ACKIU;Ackrell SPAC Partners I Co. Units;United States;;;;
ACKIW;Ackrell SPAC Partners I Co. Warrants;United States;;Finance;;Business Services
ACLS;Axcelis Technologies Inc. Common Stock;United States;;Technology;;Industrial Machinery/Components
ACM;AECOM Common Stock;United States;;Consumer Services;;Military/Government/Technical
ACMR;ACM Research Inc. Class A Common Stock;United States;;Technology;;Industrial Machinery/Components
ACN;Accenture plc Class A Ordinary Shares (Ireland);Ireland;;Technology;;EDP Services
ACNB;ACNB Corporation Common Stock;United States;;Finance;;Major Banks
ACND;Ascendant Digital Acquisition Corp. Class A Ordinary Shares;United States;;Finance;;Business Services
ACOR;Acorda Therapeutics Inc. Common Stock;United States;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
ACP;Aberdeen Income Credit Strategies Fund Common Shares;United States;;;;
ACP^A;Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock;United States;;;;
ACQR;Independence Holdings Corp. Class A Ordinary Share;United States;;Finance;;Business Services
ACQRU;Independence Holdings Corp. Units;United States;;Finance;;Business Services
ACQRW;Independence Holdings Corp. Warrant;United States;;Finance;;Business Services
ACR;ACRES Commercial Realty Corp. Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
ACR^C;ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ;United States;;;;
ACR^D;ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock;United States;;;;
ACRE;Ares Commercial Real Estate Corporation Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
ACRS;Aclaris Therapeutics Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
ACRX;AcelRx Pharmaceuticals Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
ACST;Acasti Pharma Inc. Class A Common Stock;Canada;;;;
ACTD;ArcLight Clean Transition Corp. II Class A Ordinary Share;United States;;;;
ACTDU;ArcLight Clean Transition Corp. II Unit;United States;;;;
ACTDW;ArcLight Clean Transition Corp. II Warrant;United States;;Finance;;Business Services
ACTG;Acacia Research Corporation (Acacia Tech) Common Stock;United States;;Miscellaneous;;Multi-Sector Companies
ACU;Acme United Corporation. Common Stock;United States;;Consumer Durables;;Home Furnishings
